page_number,cleaned_text,sentence_count,entity_count
316,"the signs and symptoms of recurring TB. Stress the need to follow long-term treatment faithfully. Emphasize to the patient the importance of taking the medications daily asprescribed. The patient may enroll ina supervised administration programto avoid the development of drug-resistant organisms. (See Preventingtuberculosis, page 139.)PREVENTIONPREVENTING TUBERCULOSISThe best way to prevent tuberculosis (TB) is early detection to preventit from becoming active. Hospitalized patients with TB should be isolatedfrom other patients using airbome precautions. Staff members should alsouse disposable high-efficiency particulate air filter masks, which serve asadequate respiratory protection when caring for patients who are inairbome isolation.Other ways to prevent the spread of TB include: Ifa patient has a weakened immune system or has humanimmunodeficiency virus, it is recommended that they receive annual TBtesting. Annual testing is also recommended for healthcare workers,those who work in a prison or a long-term care facility, and those witha substantially increased risk of exposure to the disease. Ifa patient tests positive for latent TB infection but has no evidence ofactive TB, he or she may be able to reduce the risk of developingactive TB by taking a course of therapy with isoniazid.To prevent the spread of disease from those with active TB or fromthose who are receiving treatment, the following recommendations shouldbe followed: Stress the need to maintain the treatment regimen and to not stop or skipdoses. When the treatment regimen is stopped, the TB bacteria canmutate and become drug resistant. The patient who is ona treatment regimen is still contagious until he orshe has been taking the medications for 2 to 3 weeks. Encouraging thepatient to stay indoors and home from school or work is recommended.",13,91
317,"If the patient must leave home, a mask is recommended during thisinitial treatment time to lessen the risk of transmission.Pneumoconioses SILICOSISSilicosis is a progressive disease characterized by nodular lesions thatcommonly progress to fibrosis. The most common form of pneumoconiosis,silicosis can be classified according to the severity of pulmonary disease andthe rapidity of its onset and progression. It usually occurs as a simpleasymptomatic illness.Acute silicosis develops after 1 to 3 years in workers exposed to very highconcentrations of respirable silica (sand blasters and tunnel workers).Accelerated silicosis appears after an average of 10 years of exposure tolower concentrations of free silica. Chronic silicosis develops after 20 ormore years of exposure to lower concentrations of free silica. (Chronicsilicosis is further subdivided into simple and complicated forms.)The prognosis is good unless the disease progresses into the complicatedfibrotic form, which causes respiratory insufficiency and cor pulmonale. It salso associated with pulmonary TB.Causes and Incidence Silicosis results from the inhalation and pulmonary deposition of respirablecrystalline silica dust, mostly from quartz. The danger to the worker dependson the concentration of dust in the atmosphere, the percentage of respirablefree silica particles in the dust, and the duration of exposure. Respirableparticles are less than 10 ym in diameter, but the disease-causing particlesdeposited in the alveolar space are usually to 3 um in diameter.Industrial sources of silica in its pure form include the manufacture ofceramics (flint) and building materials (sandstone). It occurs in mixed form inthe production of construction materials (cement). It s found in powder form(silica flour) in paints, porcelain, scouring soaps, and wood fillers as well asin the mining of gold, coal, lead, zinc, and iron. Foundry workers, boilerscalers, and stonecutters are all exposed to silica dust and, therefore, are athigh risk for developing silicosis.",12,101
318,"The incidence of silicosis has decreased since the Occupational Safety and Health Administration instituted regulations requiring the use of protectiveequipment that limits the amount of silica dust inhaled.Pathophysiology Nodules result when alveolar macrophages ingest silica particles, whichthey re unable to process. As a result, the macrophages die and releaseproteolytic enzymes into the surrounding tissue. The subsequent inflammationattracts other macrophages and fibroblasts into the region to produce fibroustissue and wall off the reaction. The resulting nodule has an onionskinappearance when viewed under a microscope. Nodules develop adjacent toterminal and respiratory bronchioles, concentrate in the upper lobes, and arecommonly accompanied by bullous changes in both lobes. If the diseaseprocess doesn t progress, minimal physiologic disturbances and no disabilityoccur. Occasionally, however, the fibrotic response accelerates, engulfing anddestroying large areas of the lung (progressive massive fibrosis orconglomerate lesions). Fibrosis may continue even after exposure to dust hasended.Complications Pulmonary fibrosis Cor pulmonale Ventricular or respiratory failure Pulmonary TBSigns and Symptoms Initially, silicosis may be asymptomatic or may produce dyspnea on exertion,usually attributed to being out of shape or slowing down. If the diseaseprogresses to the chronic and complicated stage, dyspnea on exertionworsens, and other symptoms usually tachypnea and an insidious dry coughthat s most pronounced in the moming appear.Progression to the advanced stage causes dyspnea on minimal exertion,worsening cough, and pulmonary hypertension, which in tum leads to right-sided heart failure and cor pulmonale. Patients with silicosis have a highincidence of active TB, which should be considered when evaluating patientswith this disease. CNS changes confusion, lethargy, and a decrease in the",11,96
319,"rate and depth of respiration as the Paco, increases also occur in advancedsilicosis.Other clinical features include malaise, disturbed sleep, and hoarseness.The severity of these symptoms may not correlate with chest X-ray findings orthe results of PFTs.Diagnosis The patient history reveals occupational exposure to silica dust. The physicalexamination is normal in simple silicosis; in chronic silicosis withconglomerate lesions, it may reveal decreased chest expansion, diminishedintensity of breath sounds, areas of hyporesonance and hyperresonance, fine tomedium crackles, and tachypnea.In simple silicosis, chest X-rays show small, discrete, nodular lesionsdistributed throughout both lung fields but typically concentrated in the upperlung zones; the hilar lung nodes may be enlarged and exhibit eggshell calcification. In complicated silicosis, X-rays show one or moreconglomerate masses of dense tissue.PFTs show: FVC treduced in complicated silicosis FEV, teduced in obstructive disease (emphysematous areas of silicosis);reduced in complicated silicosis, but ratio of FEV, to FVC is normal orhigh Maximal voluntary ventilation reduced in restrictive and obstructivediseases CO, diffusing capacity reduced when fibrosis destroys alveolar wallsand obliterates pulmonary capillaries or when fibrosis thickens thealveolocapillary membrane Treatment The goal of treatment is to relieve respiratory symptoms, to managehypoxemia and cor pulmonale, and to prevent respiratory tract irritation andinfections. Treatment also includes careful observation for the development of TB. Respiratory symptoms may be relieved through daily use of inhaledbronchodilators and increased fluid intake (at least 3 qt 3 L daily). Steaminhalation and chest physiotherapy techniques, such as controlled coughingand segmental bronchial drainage with chest percussion and vibration, help",6,102
320,"clear secretions. In severe cases, it may be necessary to administer oxygen bycannula or mask (1 to 2 L/minute) for the patient with chronic hypoxemia orby mechanical ventilation if arterial oxygen can t be maintained above 40 mm Hg. Respiratory infections require prompt administration of antibiotics.Special Considerations Teach the patient to prevent infections by avoiding crowds and personswith respiratory infections and by receiving influenza and pneumococcalvaccines.Increase exercise tolerance by encouraging regular activity. Advise thepatient to plan his or her daily activities to decrease the work of breathing.The patient should be instructed to pace himself or herself, rest often, andgenerally move slowly through his or her daily routine.ASBESTOSISAsbestosis is a form of pneumoconiosis characterized by diffuse interstitialfibrosis. It can develop as long as 15 to 20 years after regular exposure toasbestos has ended. Asbestos also causes pleural plaques and mesotheliomasof pleura and the peritoneum. A potent co-carcinogen, asbestos increases therisk of lung cancer in cigarette smokers.Causes and Incidence Asbestosis results from the inhalation of respirable asbestos fibers (50 wm ormore in length and 0.5 um or less in diameter), which assume a longitudinalorientation in the airway and move in the direction of airflow. The fiberspenetrate respiratory bronchioles and alveolar walls. Sources include themining and milling of asbestos, the construction industry, and the fireproofingand textile industries. Asbestos was also used in the production of paints,plastics, and brake and clutch linings.Asbestos-related diseases develop in families of asbestos workers as aresult of exposure to fibrous dust shaken off workers clothing at home. Suchdiseases develop in the general public as a result of exposure to fibrous dustor waste piles from nearby asbestos plants, but exposures for occupants oftypical buildings are quite low and not in a range associated with asbestosis.Inhaled fibers become encased in a brown, protein-like sheath rich in iron(ferruginous bodies or asbestos bodies), found in sputum and lung tissue.Interstitial fibrosis develops in lower lung zones, causing obliterative changes",11,107
321,"in lung parenchyma and pleurae. Raised hyaline plaques may form in parietalpleura, diaphragm, and pleura contiguous with the pericardium.Asbestosis occurs in 4 of every 10,000 people.Pathophysiology Asbestos fibers penetrate the pleura tissues and are phagocytosed permanentlywithin the lungs. This sets up cycles of cellular events and the release ofcytokines. The initial irritation occurs in the alveoli and initiates a surge ofasbestos-activated macrophages. These specified macrophages then producemultiple varieties of growth factors that interact to produce fibroblastproliferation.Complications Pulmonary fibrosis Respiratory failure Pulmonary hypertension Cor pulmonale Signs and Symptoms Clinical features may appear before chest X-ray changes. The first symptom isusually dyspnea on exertion, typically after 10 years exposure. As fibrosisextends, dyspnea on exertion increases until, eventually, dyspnea occurs evenat rest. Advanced disease also causes a dry cough (may be productive insmokers), chest pain (commonly pleuritic), recurrent respiratory infections,and tachypnea. (See A close look at asbestosis.)A Close Look at Asbestosis After years of exposure to asbestos, healthy lung tissue progresses fromsimple asbestosis to massive pulmonary fibrosis, as shown below.Simple asbestosis Progressive massive pulmonaryfibrosis",10,70
322,"Cardiovascular complications include pulmonary hypertension, rightventricular hypertrophy, and cor pulmonale. Finger clubbing commonlyoccurs.Diagnosis The patient history reveals occupational, family, or neighborhood exposure toasbestos fibers. Physical examination reveals characteristic dry crackles atlung bases. Chest X-rays show fine, irregular, and linear diffuse infiltrates;extensive fibrosis results in a honeycomb or ground-glass appearance. X-rays may also show pleural thickening and calcification, with bilateralobliteration of costophrenic angles. In later stages, an enlarged heart with aclassic shaggy heart border may be evident. CT scan of the lungs also aidsin diagnosis.PFTs show: Vital capacity, FVC, and TLC decreased FEV, decreased or normal Carbon monoxide diffusing capacity treduced when fibrosis destroysalveolar walls and thickens alveolocapillary membranes ABG analysis reveals:",7,49
323,"Pao, decreased Paco, low due to hyperventilation Treatment The goal of treatment is to relieve respiratory symptoms and, in advanceddisease, manage hypoxemia and cor pulmonale. Respiratory symptoms may berelieved by chest physiotherapy techniques, such as controlled coughing andsegmental bronchial drainage, chest percussion, and vibration. Aerosoltherapy, inhaled mucolytics, and increased fluid intake (at least 3 qt 3 L daily) may also relieve symptoms.Diuretics, cardiac glycosides, and salt restriction may be indicated forpatients with cor pulmonale. Hypoxemia requires oxygen administration bycannula or mask (1 to 2 L/minute) or by mechanical ventilation if arterialoxygen can t be maintained above 40 mm Hg, Respiratory infections requireprompt administration of antibiotics.Special Considerations Teach the patient to prevent infections by avoiding crowds and personswith infections and by receiving influenza and pneumococcal vaccines. Improve the patient s ventilatory efficiency by encouraging physicalreconditioning, energy conservation in daily activities, and relaxationtechniques.COAL WORKER S PNEUMOCONIOSISA progressive nodular pulmonary disease, coal worker s pneumoconiosis(CWP) occurs in two forms. Simple CWP is characterized by small lungopacities; in complicated CWP, also known as progressive massive fibrosis,masses of fibrous tissue occasionally develop in the patient s lungs. The riskof developing CWP (also known as black lung disease, coal miner s disease,miner s asthma, anthracosis, and anthracosilicosis) depends on the durationof exposure to coal dust (usually 15 years or longer), intensity of exposure(dust count and particle size), location of the mine, silica content of the coal(anthracite coal has the highest silica content), and the worker s susceptibility.The prognosis varies. Simple asymptomatic disease is self-limiting,although progression to complicated CWP is more likely if CWP begins after",8,100
324,"a relatively short period of exposure. Complicated CWP may be disabling,resulting in severe ventilatory failure and cor pulmonale.Causes and Incidence CWP is caused by the inhalation and prolonged retention of respirable coaldust particles (less than 5 wm in diameter). Simple CWP results in theformation of macules (accumulations of macrophages laden with coal dust)around the terminal and respiratory bronchioles, surrounded by a halo ofdilated alveoli. Macule formation leads to atrophy of supporting tissue,causing permanent dilation of small airways (focal emphysema).Simple disease may progress to complicated CWP, involving one or bothlungs. In this form of the disease, fibrous tissue masses enlarge and coalesce,causing gross distortion of pulmonary structures (destruction of vasculaturealveoli and airways).The incidence of CWP is highest among anthracite coal miners in theeastem United States.Pathophysiology When coal dust particles are inhaled into the lung bronchioles, the carbon isphagocytosed and transported by macrophages and microciliary into themucus. An immune response is triggered as the coal-filled macrophagesaccumulate in the alveoli. Reticulin is secreted from the fibroblasts whichthen entrap the macrophages and become strangulated from the resultantinterstitial fibrosis.Complications Pulmonary hypertension Pulmonary TB Cor pulmonale Signs and Symptoms Simple CWP produces no symptoms, especially in nonsmokers. Symptoms ofcomplicated CWP include exertional dyspnea and a cough that occasionallyproduces inky-black sputum (when fibrotic changes undergo avasculamecrosis and their centers cavitate). Other clinical features of CWP includeincreasing dyspnea and a cough that produces milky, gray, clear, or coal-",9,95
325,"flecked sputum. Recurrent bronchial and pulmonary infections produceyellow, green, or thick sputum.Complications include pulmonary hypertension, right ventricularhypertrophy, cor pulmonale, and pulmonary TB. In cigarette smokers, chronicbronchitis and emphysema may also complicate the disease.Diagnosis The patient history reveals exposure to coal dust. Physical examination showsbarrel chest, hyperresonant lungs with areas of dullness, diminished breathsounds, crackles, rhonchi, and wheezes. In simple CWP, chest X-rays showsmall opacities (less than 10 mm in diameter). These may be present in alllung zones but are more prominent in the upper lung zones. In complicated CWP, one or more large opacities (1 to 5 cm in diameter), possibly exhibitingcavitation, are seen.PFTs show: Vital capacity normal in simple CWP but decreased with complicated CWP FEV, decreased in complicated disease Residual volume and TLC normal in simple CWP; decreased incomplicated CWP Carbon monoxide diffusing capacity significantly decreased incomplicated CWP as alveolar septae are destroyed and pulmonarycapillaries obliterated Paco, may be increased with concomitant COPDTreatment There s no specific treatment. The goal of treatment is to relieve respiratorysymptoms, manage hypoxia and cor pulmonale, and avoid respiratory tractirritants and infections. Treatment also includes careful observation for thedevelopment of TB. Chest physiotherapy techniques, such as controlledcoughing and segmental bronchial drainage combined with chest percussionand vibration, help remove secretions.Other measures include increased fluid intake (at least 3 qt 3 L daily) andrespiratory therapy techniques, such as aerosol therapy, inhaled mucolytics,and intermittent positive-pressure breathing. Diuretics, cardiac glycosides,and salt restriction may be indicated in cor pulmonale. In severe cases, it maybe necessary to administer oxygen for hypoxemia by cannula or mask (1 to 2",12,101
326,"L/minute) if the patient has chronic hypoxia; mechanical ventilation is utilizedif Pao, can t be maintained above 40 mm Hg. Respiratory infections requireprompt administration of antibiotics.Special Considerations Teach the patient to prevent infections by avoiding crowds and personswith respiratory infections and by receiving pneumococcal vaccinepolyvalent and annual influenza vaccines. Encourage the patient to stay active to avoid a deterioration in his or herphysical condition but to pace activities and practice relaxation techniques.SELECTED REFERENCESAl-Dabbagh, M., et al. (2011). Drug-resistant tuberculosis: Pediatric guidelines. Pediatric Infectious Disease Joumal, 30(6), 501-505.Arakawa, H., et al. (2016). Asbestosis and other pulmonary fibrosis in asbestos-exposed workers: High-resolution CT features with pathological correlations. European Radiology, 26, 1485-1492.doi:10. 1007/s00330-015-3973-z Bhattacharya, S., et al. (2016, May August). Silicosis in the form of progressive massive fibrosis: Adiagnostic challenge. Indian Joumal of Occupational and Environmental Medicine, 20(2),114-117. doi:10.4103/0019-5278. 197548Butt, Y., et al. (2016, April). Acute lung injury a clinical and molecular review. Archives of Pathophysiology and Laboratory Medicine, 140, 345-350.Criner, R. N., Han, M. K. (2018, May). COPD care in the 21st century: A public health priority.Respiratory Care, 63(5), 591-600. doi:10.4187/respcare.06276Cruz, A. T., Stark, J. R. (2018, February). Completion rate and safety of Tuberculosis infectiontreatment with shorter regimens. Pediatrics, 141(2), 1-9. doi:10.1542/peds.2017-2838Dodia, B. K., et al. (2015, April-June). Role of chest physiotherapy in resolving post operative massiveatelectasis. Indian Joumal of Physiotherapy and Occupational Therapy, 9(2), 40-42.doi:10.5958/0973-5674.2015.00050.7Faisy, C., et al. (2016). Effect of acetazolamide vs placebo on duration of invasive mechanical ventilationamong patients with chronic obstructive pulmonary disease. Joumal of the American Medical Association, 315(5), 480 488. doi:10.1001/jama.2016.0019Garrison, L. E., et al. (2016). Vital signs: Deficiencies in environmental control identified in outbreaks of Legionnaires Disease North America, 2000-2014. MMWR: Morbidity and Mortality Weekly Report, 65(22), 576-584. doi:10.15585/mmwr.mm6522e1Grazel, R., et al. (2010). Implementation of the American Academy of Pediatrics Recommendations toreduce sudden infant death syndrome risk in neonatal intensive care units: An evaluation of nursingknowledge and practice. Advances in Neonatal Care, 10(6), 332-342.Guerin, C., Matthay, M. A. (2016). Acute cor pulmonale and the acute respiratory distress syndrome.Intensive Care Medicine, 42, 934-936. doi:10.1007/s00134-015-4197-z Hauk, L. (2017). SIDS and safe sleeping environments for infants: AAP updates recommendations.American Family Physician, 95(12), 806-807.Havermans, T., et al. (2011). Siblings of children with cystic fibrosis: Quality of life and the impact ofillness. Child: Care, Health and Development, 37(2), 252-260.",38,125
327,"Herchline, T. E. (2017). Tuberculosis. Retrieved from https://emedicine.medscape.com/article/230802-overview ta4Janda, S., et al. (2011). Diagnostic accuracy of echocardiography for pulmonary hypertension: Asystematic review and meta-analysis. Heart, 97(8), 612-622.Jeffries, M., et al. (2017, May June). Evidence to support the use of occlusive dry sterile dressings forchest tubes. MEDSURG Nursing, 26(3), 171-174.Johnson, D. W. (2016, September 16). Croup. American Family Physician, 94(6), 476-478.Jung, I. Y., et al. (2015). A case of bronchiolitis obliterans organizing pneumonia in an HIV-infected Korean patient successfully treated with clarithromycin. BMC Infectious Disease, 15(280), 1-4.doi:10.1186/s12879-015-1025-6Kak, C. C., et al. (2016). Safety of indwelling pleural catheter use in patients undergoing chemotherapy:A five-year retrospective evaluation. BMC Pulmonary Medicine, 16(41), 1 7.doi:10. 1186/s12890-016-0203-7Kamanger, N. (2018). Lung abscess. Retrieved from https://emedicine.medscape.com/article/299425-overview a SKaufman, J. S. (2017, June). Acute exacerbation of COPD: Diagnosis and management. The Nurse Practitioner, 42(6), 1-7. doi:10.1097/01.NPR.0000515997.35046.b8Khan, F. J. (2015). Coal worker s pneumoconiosis. Retrieved fromhttps://emedicine.medscape.com/article/297887-overview Kim, J. J., et al. (2015). Life-threatening hemothorax due to the inferior pulmonary ligament injury withoutobvious organ injuries: A case report. Joumal of Cardiothoracic Surgery, 10(35), 1-3.doi:10.1186/s13019-015-0243-8Kjaerulff, A. M., et al. (2018). Clinical evaluation of intravenous ampicillin as empirical antimicrobialtreatment of acute epiglottitis. Acta Oto-Laryngologica, 138(1), 60-65.doi:10. 1080/00016489.2017. 1363912Kong, V. Y., et al. (2015). Open pneumothorax: The spectrum and outcome of management based onadvanced trauma life support recommendations. European Joumal of Trauma and Emergency Surgery, 41(4), 401-404. doi:10.1007/s00068-014-0469-5Li, H., et al. (2018). A simplified ultrasound comet tail grading scoring to assess pulmonary congestion inpatients with heart failure. Bio Med Research Intemational, 1-10. doi:10.1155/2018/8474839Locci, G., et al. (2014). Hyaline membrane disease (HMD): The role of the perinatal pathologist. The Joumal of Pediatric of Neonatal Individualized Medicine, 3(2), 1 9. doi:10.7363/030255Madappa, T. (2017). Atelectasis. Retrieved from https://emedicine.medscape.com/article/296468-overview Madhani, K., et al. (2016, July-September). A 10-year retrospective review of pediatric lung abscessesfrom a single center. Annals of Thoracic Medicine, 11(3), 191-196. doi:10.4103/1817-1737.185763Mancini, M. C. (2017). Hemothorax. Retrieved from https://emedicine.medscape.com/article/20479 16-overview Masa, J. F., et al. (2016). Noninvasive ventilation for severely acidotic patients in respiratory intermediatecare units. BMC Pulmonary Medicine, 16(97), 1-13. doi:10.1186/s12890-016-0262-9Mazurek, J. M., et al. (2017, July 21). Surveillance for silicosis deaths among persons aged 15 44 years United States, 1999-2015. Morbidity and Mortality Weekly Report, 66(28), 747-752.Mennella, H., Schub, T. (2017, November 17). Severe acute respiratory syndrome (SARS). CINAHLNursing Guide.Mosenifar, Z. (2017). Chronic obstructive pulmonary disease (COPD). Retrieved fromhttps://emedicine.medscape.com/article/297664-overview",60,114
330,"motor (efferent) neurons transmit impulses from the CNS to regulate activityof muscles or glands, and intemeurons (connecting or association neurons)shuttle signals through complex pathways between sensory and motomeurons. Intemeurons account for 99 of all the neurons in the nervoussystem and include most of the neurons in the brain. (See Parts of a neuron,page 147.)Parts of a Neuron A typical neuron, like the one shown here, has one axon and manydendrites. A myelin sheath encloses the axon.Cell body Nucleus ofcell body Dendrites Axon Myelin sheath INTRICATE CONTROL SYSTEM",5,31
331,"This intricate network of interlocking receptors and transmitters forms,together with the brain and spinal cord, a dynamic control system a livingcomputer that controls and regulates every mental and physical function.From birth to death, this astonishing system efficiently organizes the body saffairs controlling the smallest action, thought, or feeling; monitoringcommunication and instinct for survival; and allowing introspection, wonder,abstract thought, and awareness of one s own intelligence. The brain, theprimary center of the CNS, is the large soft mass of nervous tissue housed inthe cranium and protected and supported by the meninges and skull bones.The fragile brain, brainstem, and spinal cord are protected by bone (theskull and vertebrae), cushioning cerebrospinal fluid (CSF), and threeprotective membranes, called meninges: The dura mater, or outer sheath, is made of tough white fibrous tissue.The arachnoid membrane, the middle layer, is delicate and lacelike. The pia mater, the inner meningeal layer, is made of fine blood vesselsheld together by connective tissue. It s thin and transparent and clings tothe brain and spinal cord surfaces, carrying branches of the cerebralarteries deep into the brain s fissures and sulci.Between the dura mater and the arachnoid membrane is the subduralspace; between the pia mater and the arachnoid membrane is thesubarachnoid space. The subarachnoid space and the brain s four ventriclescontain CSF, a clear liquid containing water and traces of organic materials(especially protein), glucose, and minerals.CSF is formed from blood in capillary networks called choroid plexus,which are located primarily in the brain s lateral ventricles. This fluid iseventually reabsorbed into the venous blood through the arachnoid villi, indural sinuses on the brain s surface.The cerebrum, the largest portion of the brain, is the nerve center thatcontrols sensory and motor activities and intelligence. The outer layer of thecerebrum, the cerebral cortex, consists of neuron cell bodies (gray matter);the inner layers consist of axons (white matter) and basal ganglia, whichcontrol motor coordination and steadiness. The cerebral surface is deeplyconvoluted, furrowed with elevations (gyri) and depressions (sulci). Alongitudinal fissure divides the cerebrum into two hemispheres connectedby a wide band of nerve fibers called the corpus callosum, through whichthe hemispheres share information. The hemispheres don t share equally; one",10,133
332,"always dominates, giving one side control over the other. Because motorimpulses descending from the brain through the pyramidal tract cross in themedulla, the right hemisphere controls the left side of the body and the lefthemisphere, the right side of the body. Several fissures divide the cerebruminto lobes, each of which is associated with specific functions. (See A /ookat the lobes, page 148.)A Look at the Lobes Several fissures divide the cerebrum into hemispheres and lobes; eachlobe has a specific function. The fissure of Sylvius (lateral sulcus)separates the temporal lobe from the frontal and parietal lobes. Thefissure of Rolando (central sulcus) separates the frontal lobes from theparietal lobe. The parieto-occipital fissure separates the occipital lobefrom the two parietal lobes.Parieto-occipitali Parietal lobefissuree Fissure of Fissure of Sylvius Rolando(lateral sulcus) (central sulcus)Frontal lobe Occipital lobe Temporal lobe",8,42
333,"The frontal lobe controls voluntary muscle movements and containsmotor areas (including the motor area for speech, or Broca area). It sthe center for personality, behavioral, and intellectual functions, suchas judgment, memory, and problem solving; for autonomic functions;and for cardiac and emotional responses. The temporal lobe is the center for taste, hearing, and smell; in thebrain s dominant hemisphere, it interprets spoken language. The parietal lobe coordinates and interprets sensory information fromthe opposite side of the body. The occipital lobe interprets visual stimuli.The thalamus, a relay center below the corpus callosum, further organizescerebral function by transmitting impulses to and from appropriate areas ofthe cerebrum. In addition to its primary relay function, it s responsible forprimitive emotional responses, such as fear, and for distinguishing pleasantstimuli from unpleasant ones.The hypothalamus, which lies beneath the thalamus, is an autonomiccenter that has connections with the brain, spinal cord, autonomic nervoussystem, and pituitary gland. It regulates temperature control, appetite, bloodpressure, breathing, sleep pattems, and peripheral nerve discharges thatoccur with behavioral and emotional expression. It also has partial control ofpituitary gland secretion and stress reaction.THE BASE OF THE BRAINBeneath the cerebrum, at the base of the brain, is the cerebellum. It sresponsible for smooth muscle movements, coordinating sensory impulseswith muscle activity, and maintaining muscle tone and equilibrium.The brainstem houses cell bodies for most of the cranial nerves andincludes the midbrain, the pons, and the medulla oblongata. With thethalamus and the hypothalamus, it makes up a nerve network called thereticular formation, which acts as an arousal mechanism and controlswakefulness. It also relays nerve impulses between the spinal cord and otherparts of the brain. The midbrain is the reflex center for the third and fourthcranial nerves and mediates pupillary reflexes and eye movements. The ponshelps regulate respirations; it s also the reflex center for the fifth througheighth cranial nerves and mediates chewing, taste, saliva secretion, hearing,",13,111
334,"and equilibrium. The medulla oblongata affects cardiac, respiratory, andvasomotor functions.BLOODLINE TO THE BRAINFour major arteries two vertebral and two carotid supply the brain withoxygenated blood. These arteries originate in or near the aortic arch. The twovertebral arteries (branches of the subclavian) converge to become thebasilar artery, which supplies the posterior brain. The common carotidsbranch into the two intemal carotids, which divide further to supply theanterior brain and the middle brain. These arteries interconnect through thecircle of Willis, at the base of the brain. This anastomosis usually ensurescontinual circulation to the brain.THE SPINAL CORD: CONDUCTOR PATHWAYExtending downward from the brain through the vertebrae, to the level ofapproximately the second lumbar vertebra, is the spinal cord, a two-wayconductor pathway between the brainstem and the peripheral nervous system.The spinal cord is also the reflex center for activities that don t require braincontrol, such as deep tendon reflexes, the jerking reaction elicited by tappingwith a reflex hammer.A cross section of the spinal cord shows an intemal H-shaped mass ofgray matter divided into homs, which consist primarily of neuron cellbodies. (See Cross section of the spinal cord, page 149.) Cell bodies in theposterior, or dorsal, hom primarily relay sensations; those in the anterior, orventral, hom are needed for voluntary or reflex motor activity. The whitematter surrounding the outer part of these homs consists of myelinated nervefibers grouped functionally in vertical columns, called tracts. The sensory,or ascending, tracts carry sensory impulses up the spinal cord to the brain;the motor, or descending, tracts carry motor impulses down the spinal cord.The brain s motor impulses reach a descending tract and continue through theperipheral nervous system via upper motor neurons. These neurons originatein the brain and form two major systems:Cross Section of the Spinal Cord",12,99
335,"The cross section of the spinal cord below shows the anterior andposterior segments.Sensory neuron Posterior. dendrite root Gray matter) se ;Posterior root ganglion Posterior hom Fromsensoryreceptor To muscleor glandeffector Spinalnerve Anterior hom Motor White matter neuron Anterior root root The pyramidal system (corticospinal tract) is responsible for fine, skilledmovements of skeletal muscle. An impulse in this system originates in thefrontal lobe s motor cortex and travels downward to the pyramids of themedulla, where it crosses to the opposite side of the spinal cord. The extrapyramidal system (extracorticospinal tract) controls grossmotor movements. An impulse traveling in this system originates in thefrontal lobe s motor cortex and is mediated by basal ganglia, the thalamus,cerebellum, and reticular formation before descending to the spinal cord.OUTLYING AREASMessages transmitted through the spinal cord reach outlying areas through theperipheral nervous system, which originates in 31 pairs of segmentallyarranged spinal nerves attached to the spinal cord. Spinal nerves arenumbered according to their point of origin in the cord:8 cervical: Cl to C8",6,53
336,"12 thoracic: Tl to T125 lumbar: L1 to LS5 sacral: SI to S5 1 coccygeal.On the cross section of the spinal cord, you ll see that these spinal nervesare attached to the spinal cord by two roots: The anterior, or ventral, root consists of motor fibers that relay impulsesfrom the cord to glands and muscles. The posterior, or dorsal, root consists of sensory fibers that relay sensoryinformation from receptors to the cord. The posterior root has an enlargedarea the posterior root ganglion which is made up of sensory neuroncell bodies.After leaving the vertebral column, each spinal nerve separates into rami(branches), distributed peripherally, with extensive but organizedoverlapping. This overlapping reduces the chance of lost sensory or motorfunction from interruption of a single spinal nerve.TWO FUNCTIONAL SYSTEMS The somatic (voluntary) nervous system is activated by will but can alsofunction independently. It s responsible for all conscious and highermental processes and for subconscious and reflex actions such asshivering.The autonomic (involuntary) nervous system regulates unconsciousprocesses to control involuntary body functions, such as digestion,respiration, and cardiovascular function. It s usually divided into twocompeting systems: The sympathetic nervous system controls energyexpenditure, especially in stressful situations, by releasing adrenergiccatecholamines. The parasympathetic nervous system helps conserveenergy by releasing the cholinergic neurohormone acetylcholine. Thesesystems balance each other to support homeostasis under normalconditions. ASSESSING NEUROLOGIC FUNCTIONA complete neurologic assessment helps confirm the diagnosis when aneurologic disorder is suspected. It establishes a clinical baseline and can",10,85
